start_ts,end_ts,flow,avg_flow,std,pred
2016-01-05 15:05:03,2016-01-05 15:34:33,2024,33.733333333333334,7.61329246924,29.553162714853375
2016-01-05 15:35:02,2016-01-05 16:04:33,2054,34.233333333333334,7.66673913009,33.88218056312376
2016-01-05 16:05:02,2016-01-05 16:34:32,1964,32.733333333333334,7.10133007886,32.524515571381954
2016-01-05 16:35:02,2016-01-05 17:04:33,1796,29.933333333333334,8.01845094489,24.93411666188364
2016-01-05 17:05:03,2016-01-05 17:34:33,1830,30.5,6.20349363934,32.03797326923822
2016-01-05 17:35:04,2016-01-05 18:04:32,1603,26.716666666666665,6.94044106828,26.422908360062433
2016-01-05 18:05:03,2016-01-05 18:34:32,1590,26.5,6.38618300187,22.494570067940284
2016-01-05 18:35:02,2016-01-05 19:04:33,1300,21.666666666666668,6.38922704419,22.062701859978723
2016-01-05 19:05:03,2016-01-05 19:34:33,1188,19.8,6.01331855135,21.33762107131023
2016-01-05 19:35:04,2016-01-05 20:04:34,1062,17.7,6.93613725354,13.88594539594199
2016-01-05 20:05:04,2016-01-05 20:34:33,880,14.666666666666666,5.90950270515,14.949932110758327
2016-01-05 20:35:03,2016-01-05 21:04:33,817,13.616666666666667,4.59017670926,11.633523523447591
2016-01-05 21:05:03,2016-01-05 21:34:35,817,13.616666666666667,4.62634364867,16.254682595293787
2016-01-05 21:35:04,2016-01-05 22:04:33,697,11.616666666666667,3.74206568028,13.674601848367015
2016-01-05 22:05:03,2016-01-05 22:34:33,610,10.166666666666666,4.31341576428,8.140655727691898
2016-01-05 22:35:03,2016-01-05 23:04:33,484,8.066666666666666,3.1721006009,9.891710842842219
2016-01-05 23:05:02,2016-01-05 23:34:35,437,7.283333333333333,3.41121516309,8.81493787258393
2016-01-05 23:35:03,2016-01-06 00:04:33,336,5.6,2.76405499222,6.063501292552018
2016-01-06 00:05:03,2016-01-06 00:34:35,276,4.6,2.49799919936,6.343463690582063
2016-01-06 00:35:05,2016-01-06 01:04:33,243,4.05,2.24666419387,2.569565089015795
2016-01-06 01:05:03,2016-01-06 01:34:33,199,3.316666666666667,2.03708669973,3.242095254736692
2016-01-06 01:35:03,2016-01-06 02:04:33,153,2.55,2.27614440081,2.6501017419593644
